10%_retina,50%_retina,10%_vitreous,50%_vitreous,10%_aqueous,50%_aqueous,dose,k_d_value,k_off_value,r_c=5.1_multiplier,del_r=1.25_multiplier,dds_geometry,total_r1,total_r2,total_delr,fraction_pcl,dataset,iteration
54.5027251362568,363.418170908545,344.917245862293,715.735786789339,323.71618580929,705.935296764838,2,19000,0.864,1.5,3,Chitosan_PCL,0.000765,0.00114,0.000375,0.328947368421053,BiLayer_Changing_Both,0
44.4022201110055,418.820941047052,390.219510975549,1031.15155757788,357.417870893545,1014.45072253613,2,19000,0.864,2,5,Chitosan_PCL,0.00102,0.001645,0.000625,0.379939209726444,BiLayer_Changing_Both,0
32.8016400820041,395.619780989049,357.817890894545,1571.57857892895,316.11580579029,1532.27661383069,2,19000,0.864,3,6,Chitosan_PCL,0.00153,0.00228,0.00075,0.328947368421053,BiLayer_Changing_Both,0
23.5011750587529,246.312315615781,216.610830541527,1977.998899945,185.209260463023,1883.49417470874,2,19000,0.864,5,0.5,Chitosan_PCL,0.00255,0.0026125,6.25000000000001e-05,0.0239234449760766,BiLayer_Changing_Both,0
35.2017600880044,57.2028601430072,55.4027701385069,71.5035751787589,54.4027201360068,71.1035551777589,2,19000,0.864,0,0,PCL,0,6.35e-08,6.35e-08,1,PCL_single,0
35.2017600880044,57.3028651432572,55.4027701385069,71.6035801790089,54.4027201360068,71.1035551777589,2,19000,0.864,0,0,PCL,0,0.000635,0.000635,1,PCL_single,0
39.701985099255,61.7030851542577,59.9029951497575,76.0038001900095,58.8029401470073,75.6037801890095,2,19000,0.864,0.0001,0,Chitosan,0,5.1e-08,0,0,Chitosan_single,0
39.801990099505,61.8030901545077,60.0030001500075,76.1038051902595,59.0029501475074,75.7037851892595,2,19000,0.864,0.1,0,Chitosan,0,5.1e-05,0,0,Chitosan_single,0
47.2023601180059,73.2036601830091,71.2035601780089,90.0045002250113,70.0035001750088,89.5044752237612,2,19000,0.864,0.5,0,Chitosan,0,0.000255,0,0,Chitosan_single,0
59.3029651482574,146.007300365018,140.907045352268,216.110805540277,136.406820341017,214.110705535277,2,19000,0.864,1,0,Chitosan,0,0.00051,0,0,Chitosan_single,0
45.8022901145057,324.816240812041,298.914945747287,937.146857342867,270.613530676534,918.445922296115,2,19000,0.864,3,0,Chitosan,0,0.00153,0,0,Chitosan_single,0
40.6020301015051,248.512425621281,222.011100555028,1422.27111355568,192.909645482274,1374.36871843592,2,19000,0.864,5,0,Chitosan,0,0.00255,0,0,Chitosan_single,0
