10% Retina,50% Retina,10% Vitreous,50% Vitreous,10% Aqueous,50% Aqueous,Dose,K_D Value,K_off Value,R_C=5.1 Multiplier,del_R=1.25 Multiplier,DDS_Geometry,Total R1,Total R2,Total delR,Fraction PCL,Dataset
37.7018850942547,181.009050452523,171.808590429521,336.016800840042,162.20811040552,331.816590829541,1.01,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
38.0019000950047,182.009100455023,172.808640432022,337.116855842792,163.20816040802,332.816640832042,1.02,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
38.3019150957548,183.009150457523,173.808690434522,338.016900845042,164.208210410521,333.716685834292,1.03,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
38.6019300965048,183.909195459773,174.708735436772,339.116955847792,165.208260413021,334.816740837042,1.04,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
38.9019450972549,184.809240462023,175.708785439272,340.017000850043,166.108305415271,335.616780839042,1.05,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
39.2019600980049,185.809290464523,176.608830441522,341.017050852543,167.008350417521,336.716835841792,1.06,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
39.5019750987549,186.709335466773,177.608880444022,342.017100855043,167.908395419771,337.716885844292,1.07,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
39.801990099505,187.709385469273,178.508925446272,342.817140857043,168.808440422021,338.616930846542,1.08,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
40.102005100255,188.609430471524,179.408970448522,343.917195859793,169.808490424521,339.616980849042,1.09,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
40.402020101005,189.509475473774,180.309015450773,344.717235861793,170.708535426771,340.417020851043,1.1,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
40.7020351017551,190.409520476024,181.209060453023,345.717285864293,171.608580429021,341.317065853293,1.11,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
41.0020501025051,191.309565478274,182.109105455273,346.617330866543,172.508625431272,342.217110855543,1.12,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
41.3020651032552,192.209610480524,183.109155457773,347.517375868793,173.308665433272,343.117155857793,1.13,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
41.6020801040052,193.109655482774,183.909195459773,348.417420871044,174.308715435772,344.117205860293,1.14,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
41.9020951047552,194.009700485024,184.809240462023,349.317465873294,175.108755437772,344.817240862043,1.15,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
42.2021101055053,194.809740487024,185.609280464023,350.217510875544,175.908795439772,345.817290864543,1.16,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
42.5021251062553,195.709785489274,186.509325466273,351.017550877544,176.808840442022,346.717335866793,1.17,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
42.7021351067553,196.509825491275,187.309365468273,352.017600880044,177.708885444272,347.617380869043,1.18,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
43.0021501075054,197.409870493525,188.109405470274,352.817640882044,178.508925446272,348.417420871044,1.19,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
43.3021651082554,198.209910495525,189.009450472524,353.617680884044,179.308965448272,349.217460873044,1.2,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
43.6021801090055,199.109955497775,189.809490474524,354.517725886294,180.109005450273,350.117505875294,1.21,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
43.9021951097555,199.909995499775,190.709535476774,355.317765888294,180.909045452273,350.817540877044,1.22,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
44.2022101105055,200.710035501775,191.509575478774,356.117805890295,181.809090454523,351.717585879294,1.23,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
44.5022251112556,201.510075503775,192.309615480774,357.017850892545,182.609130456523,352.617630881544,1.24,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
44.8022401120056,202.310115505775,193.109655482774,357.717885894295,183.409170458523,353.417670883544,1.25,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
45.1022551127556,203.110155507775,193.909695484774,358.817940897045,184.209210460523,354.317715885794,1.26,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
45.4022701135057,203.910195509775,194.709735486774,359.417970898545,185.009250462523,355.117755887794,1.27,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
45.7022851142557,204.710235511776,195.509775488774,360.218010900545,185.809290464523,355.817790889544,1.28,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
46.0023001150058,205.510275513776,196.209810490525,360.918045902295,186.509325466273,356.617830891545,1.29,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
46.3023151157558,206.310315515776,197.009850492525,361.718085904295,187.309365468273,357.417870893545,1.3,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
46.6023301165058,207.010350517526,197.809890494525,362.518125906295,188.109405470274,358.217910895545,1.31,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
46.9023451172559,207.910395519776,198.509925496275,363.318165908295,188.809440472024,358.917945897295,1.32,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
47.2023601180059,208.610430521526,199.309965498275,364.118205910296,189.609480474024,359.717985899295,1.33,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
47.5023751187559,209.310465523276,200.010000500025,364.818240912046,190.309515475774,360.418020901045,1.34,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
47.702385119256,210.110505525276,200.810040502025,365.518275913796,191.109555477774,361.218060903045,1.35,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
48.002400120006,210.810540527026,201.610080504025,366.418320916046,191.809590479524,362.018100905045,1.36,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
48.302415120756,211.510575528776,202.310115505775,367.118355917796,192.609630481524,362.818140907045,1.37,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
48.6024301215061,212.310615530777,203.010150507525,367.818390919546,193.309665483274,363.518175908795,1.38,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
48.9024451222561,213.010650532527,203.810190509525,368.718435921796,194.009700485024,364.318215910796,1.39,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
49.2024601230061,213.710685534277,204.410220511026,369.318465923296,194.709735486774,364.918245912296,1.4,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
49.5024751237562,214.410720536027,205.210260513026,370.018500925046,195.409770488524,365.718285914296,1.41,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
49.8024901245062,215.210760538027,205.810290514526,370.718535926796,196.109805490275,366.418320916046,1.42,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
50.1025051252563,215.910795539777,206.610330516526,371.518575928796,196.909845492275,367.118355917796,1.43,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
50.4025201260063,216.610830541527,207.310365518276,372.018600930046,197.609880494025,367.918395919796,1.44,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
50.7025351267563,217.310865543277,208.010400520026,372.818640932047,198.309915495775,368.518425921296,1.45,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
51.0025501275064,218.010900545027,208.710435521776,373.518675933797,198.909945497275,369.118455922796,1.46,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
51.3025651282564,218.710935546777,209.410470523526,374.218710935547,199.609980499025,369.918495924796,1.47,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
51.6025801290064,219.410970548527,210.110505525276,374.918745937297,200.310015500775,370.618530926546,1.48,19000,0.864,1,1,Chitosan_PCL,0.00051,0.000635,0.000125,0.196850393700787,With_DDS_dose
